numero_concurso,dezenas_sorteadas
443,11 17 26 36 48 52
444,03 24 33 48 52 57
445,07 20 31 32 50 53
446,08 11 12 17 20 47
447,15 24 25 33 42 55
448,03 05 09 45 51 52
449,01 08 24 34 49 56
450,01 09 13 50 51 59
451,17 18 23 28 31 53
452,11 16 30 36 51 54
453,08 20 23 34 52 58
454,04 17 24 42 46 56
455,02 14 15 17 50 59
456,03 17 22 27 33 40
457,15 17 24 27 32 48
458,13 24 32 34 43 53
459,08 15 17 39 43 49
460,19 23 30 37 49 55
461,15 17 20 29 30 60
462,17 19 22 26 27 48
463,02 03 07 18 45 53
464,06 24 33 38 45 50
465,01 22 31 46 51 57
466,11 16 28 29 30 45
467,08 18 21 22 38 60
468,05 06 23 25 39 51
469,13 21 26 29 42 47
470,08 11 23 37 51 58
471,05 31 32 36 51 59
472,03 04 12 29 38 51
473,07 23 41 49 51 58
474,03 12 32 34 40 50
475,06 08 19 22 43 52
476,17 20 38 43 55 58
477,06 08 18 34 38 47
478,03 08 21 25 30 31
479,20 26 41 46 54 58
480,14 33 36 38 41 49
481,06 13 22 24 42 44
482,12 13 33 53 54 56
483,16 18 23 35 44 59
484,17 18 19 38 49 53
485,19 28 30 38 52 57
486,08 14 19 30 42 50
487,08 22 25 48 52 54
488,15 30 35 39 43 57
489,17 28 33 36 53 59
490,05 11 23 29 54 58
491,01 09 15 22 43 55
492,02 06 15 18 56 57
493,03 18 20 24 42 54
494,18 20 28 32 49 53
495,08 15 29 36 49 60
496,10 19 20 29 41 59
497,09 13 20 32 41 58
498,02 06 28 49 50 57
499,01 04 05 11 44 59
500,21 29 35 36 38 54
501,16 27 28 34 39 56
502,07 13 21 24 33 50
503,07 10 21 27 48 49
504,08 11 19 30 39 50
505,03 20 28 46 47 52
506,04 15 31 34 37 38
507,03 05 27 33 44 58
508,05 10 15 45 46 56
509,28 32 33 34 35 55
510,01 04 30 41 45 58
511,03 04 08 34 36 37
512,04 08 31 40 53 58
513,10 19 27 33 39 46
514,15 36 40 42 51 52
515,15 16 39 45 48 57
516,05 13 24 33 34 35
517,07 08 28 32 38 51
518,05 08 10 15 18 44
519,09 15 19 22 36 42
520,09 12 17 32 34 35
521,15 25 28 32 38 45
522,06 14 15 25 49 52
523,28 39 40 44 45 58
524,19 29 34 41 47 48
525,08 10 24 26 32 49
526,03 21 31 36 55 59
527,06 14 17 26 50 52
528,08 12 28 31 34 37
529,01 13 33 38 45 56
530,01 06 21 25 32 49
531,01 03 07 18 35 50
532,04 09 12 13 52 53
533,13 18 21 27 53 59
534,03 08 23 31 48 57
535,06 14 28 47 49 56
536,14 15 22 23 25 37
537,03 07 19 34 37 39
538,03 25 43 45 52 56
539,06 16 19 47 50 55
540,04 22 28 30 44 49
541,13 27 49 52 57 58
542,04 06 19 28 35 49
543,35 37 42 46 49 54
544,11 17 33 34 47 56
545,17 29 35 40 43 57
546,04 05 13 17 46 54
547,04 13 28 30 53 59
548,14 47 49 51 58 59
549,08 13 22 46 51 58
550,16 17 38 39 45 56
551,12 21 46 48 56 57
552,09 22 47 49 52 54
553,04 43 46 53 54 58
554,15 29 31 42 47 60
555,05 23 31 33 45 49
556,08 10 17 30 33 45
557,08 12 18 23 38 49
558,07 14 31 57 58 59
559,06 13 17 25 36 53
560,02 11 18 30 32 58
561,01 20 36 39 49 55
562,16 23 35 37 55 57
563,05 08 23 34 44 51
564,10 13 20 32 38 49
565,07 31 34 35 37 45
566,06 13 17 18 20 37
567,11 31 38 41 57 58
568,13 17 22 25 29 41
569,03 09 14 15 32 57
570,15 32 33 35 36 51
571,12 13 14 31 50 51
572,03 09 16 20 33 60
573,06 17 22 29 40 59
574,02 10 17 23 32 44
575,05 18 21 29 35 48
576,07 08 18 39 43 52
577,08 23 24 28 31 47
578,03 18 23 48 56 58
579,04 09 15 17 34 39
580,15 16 18 28 38 47
581,14 17 25 30 39 52
582,13 29 40 45 51 59
583,06 07 20 41 43 55
584,07 08 23 30 32 53
585,12 24 33 36 39 57
586,11 13 38 39 45 54
587,02 18 29 30 36 60
588,11 13 45 46 53 55
589,06 07 08 13 33 59
590,04 05 18 25 28 51
591,01 03 18 34 50 58
592,13 14 42 47 55 59
593,01 25 27 29 49 59
594,10 13 29 47 53 55
595,01 02 25 43 50 54
