numero_concurso,dezenas_sorteadas
11/03/1996,1,04 05 30 33 41 52
18/03/1996,2,09 37 39 41 43 49
25/03/1996,3,10 11 29 30 36 47
01/04/1996,4,01 05 06 27 42 59
08/04/1996,5,01 02 06 16 19 46
15/04/1996,6,07 13 19 22 40 47
22/04/1996,7,03 05 20 21 38 56
29/04/1996,8,04 17 37 38 47 53
06/05/1996,9,08 43 54 55 56 60
13/05/1996,10,04 18 21 25 38 57
20/05/1996,11,15 25 37 38 58 59
27/05/1996,12,04 16 19 20 27 43
03/06/1996,13,18 32 47 50 54 56
10/06/1996,14,02 16 23 27 47 53
17/06/1996,15,12 33 35 51 52 60
24/06/1996,16,20 32 34 49 58 60
01/07/1996,17,06 10 13 19 20 51
08/07/1996,18,23 27 36 37 42 56
15/07/1996,19,05 10 12 24 25 60
22/07/1996,20,11 25 28 30 33 51
29/07/1996,21,06 33 36 46 49 53
05/08/1996,22,01 09 31 38 46 56
12/08/1996,23,17 37 39 51 52 59
19/08/1996,24,01 08 14 28 33 43
25/08/1996,25,24 43 50 54 55 56
01/09/1996,26,10 22 50 53 57 58
08/09/1996,27,13 17 20 33 44 51
15/09/1996,28,03 06 22 24 54 60
22/09/1996,29,03 08 14 43 56 58
29/09/1996,30,07 14 15 29 38 50
06/10/1996,31,17 19 28 45 48 56
13/10/1996,32,05 14 33 36 43 44
20/10/1996,33,05 17 33 39 42 49
27/10/1996,34,13 15 17 40 53 57
03/11/1996,35,04 16 21 23 54 57
10/11/1996,36,03 13 17 25 29 51
17/11/1996,37,06 07 22 38 52 60
24/11/1996,38,10 42 43 45 54 55
01/12/1996,39,12 16 37 45 52 56
08/12/1996,40,03 05 08 12 46 47
15/12/1996,41,12 26 35 38 39 47
22/12/1996,42,07 11 19 24 33 36
29/12/1996,43,02 06 17 25 26 58
05/01/1997,44,14 18 29 38 44 47
12/01/1997,45,07 30 37 44 53 55
19/01/1997,46,01 23 24 32 46 60
26/01/1997,47,03 17 25 35 48 56
02/02/1997,48,02 05 28 34 47 50
09/02/1997,49,07 13 33 35 43 55
16/02/1997,50,06 16 21 44 57 58
23/02/1997,51,17 23 24 25 42 47
02/03/1997,52,15 30 38 46 58 59
09/03/1997,53,03 13 16 38 42 46
16/03/1997,54,05 09 18 21 36 56
23/03/1997,55,02 14 23 29 38 52
30/03/1997,56,02 07 20 35 51 59
06/04/1997,57,07 16 17 27 34 59
13/04/1997,58,12 27 30 37 44 49
20/04/1997,59,02 08 13 28 34 54
27/04/1997,60,03 14 15 20 21 38
04/05/1997,61,08 18 29 42 44 59
11/05/1997,62,06 08 13 24 31 52
18/05/1997,63,09 25 26 40 41 49
25/05/1997,64,08 12 23 50 54 60
01/06/1997,65,01 05 20 25 32 34
08/06/1997,66,12 13 15 26 33 48
15/06/1997,67,12 14 17 27 47 52
22/06/1997,68,01 03 12 13 53 59
29/06/1997,69,25 34 45 53 56 58
06/07/1997,70,17 23 27 40 43 58
13/07/1997,71,16 27 33 43 45 53
20/07/1997,72,01 19 34 43 44 48
27/07/1997,73,25 26 28 45 51 57
03/08/1997,74,02 24 34 37 38 50
10/08/1997,75,21 24 35 36 37 49
17/08/1997,76,08 17 18 23 33 53
24/08/1997,77,21 29 40 49 54 57
31/08/1997,78,12 22 25 31 32 46
07/09/1997,79,02 13 17 25 31 43
14/09/1997,80,23 28 37 40 48 51
21/09/1997,81,10 23 41 47 54 60
28/09/1997,82,15 18 29 36 51 53
05/10/1997,83,04 15 16 24 42 57
12/10/1997,84,04 06 10 25 34 40
19/10/1997,85,06 15 30 37 45 47
26/10/1997,86,06 21 22 34 36 54
02/11/1997,87,04 05 11 28 32 40
09/11/1997,88,04 18 29 37 43 45
16/11/1997,89,13 34 42 44 55 59
23/11/1997,90,09 21 26 40 52 54
30/11/1997,91,02 04 10 35 39 60
07/12/1997,92,01 03 05 23 24 51
14/12/1997,93,02 22 28 31 36 53
21/12/1997,94,08 18 28 51 52 55
28/12/1997,95,06 40 45 46 50 60
04/01/1998,96,04 07 26 40 42 58
11/01/1998,97,05 11 14 35 53 56
18/01/1998,98,13 14 31 33 35 43
25/01/1998,99,11 24 30 33 46 60
01/02/1998,100,14 29 30 46 48 51
08/02/1998,101,01 18 29 31 37 39
15/02/1998,102,19 20 37 42 44 56
22/02/1998,103,01 07 09 49 54 57
01/03/1998,104,01 04 13 21 38 52
08/03/1998,105,03 13 31 43 46 49
15/03/1998,106,05 16 24 35 38 39
22/03/1998,107,02 04 16 24 51 52
29/03/1998,108,21 24 29 34 59 60
04/04/1998,109,01 13 44 48 49 54
11/04/1998,110,18 31 43 52 57 58
18/04/1998,111,04 22 25 32 33 52
25/04/1998,112,12 20 34 37 42 43
02/05/1998,113,07 26 28 34 54 55
09/05/1998,114,06 12 18 37 47 54
16/05/1998,115,04 06 14 20 24 38
23/05/1998,116,05 13 32 36 42 51
30/05/1998,117,20 25 27 33 42 53
06/06/1998,118,09 22 25 37 56 57
13/06/1998,119,01 21 36 38 47 50
20/06/1998,120,03 16 27 40 45 46
27/06/1998,121,02 29 41 44 53 55
04/07/1998,122,11 17 20 39 43 53
11/07/1998,123,13 14 16 26 32 42
18/07/1998,124,05 15 34 41 52 57
25/07/1998,125,25 41 47 53 56 59
01/08/1998,126,06 10 11 28 32 40
08/08/1998,127,21 29 50 51 54 59
15/08/1998,128,03 09 18 21 23 43
22/08/1998,129,01 09 10 32 46 54
29/08/1998,130,13 29 38 42 49 53
05/09/1998,131,04 09 17 27 30 44
12/09/1998,132,07 09 35 41 44 50
19/09/1998,133,05 06 19 34 39 57
26/09/1998,134,04 25 32 36 52 60
03/10/1998,135,21 22 35 40 53 59
10/10/1998,136,01 17 25 38 45 59
17/10/1998,137,15 16 19 22 26 49
24/10/1998,138,05 14 27 37 40 41
31/10/1998,139,03 13 26 27 41 42
07/11/1998,140,07 31 41 44 46 55
14/11/1998,141,10 13 22 41 42 58
21/11/1998,142,08 15 19 20 54 59
28/11/1998,143,06 18 20 40 50 53
05/12/1998,144,08 32 36 44 45 55
12/12/1998,145,15 16 31 41 43 51
19/12/1998,146,25 32 34 42 51 60
24/12/1998,147,06 16 23 24 28 38
31/12/1998,148,32 35 41 55 58 59
09/01/1999,149,07 11 20 28 45 48
16/01/1999,150,12 44 50 52 54 55
23/01/1999,151,03 16 20 43 52 56
30/01/1999,152,05 12 15 29 51 58
06/02/1999,153,02 30 31 42 45 47
13/02/1999,154,08 10 24 33 45 48
20/02/1999,155,12 30 32 35 43 44
27/02/1999,156,17 23 42 49 52 55
06/03/1999,157,04 13 17 21 41 44
13/03/1999,158,04 14 17 43 51 58
20/03/1999,159,09 11 16 35 50 58
27/03/1999,160,02 13 42 52 54 58
03/04/1999,161,06 25 30 37 39 41
10/04/1999,162,21 23 33 38 48 51
